"State","Fiscal Year","OwnTax_Cr","NumYear","Year","GSDP_Cr","FiscalYear","LogOwnTax","LogGSDP","OwnTax_GSDP"
"Arunachal Pradesh","1990-1991",2.65,1990,"1990-1991",633.97,"1990-91",0.974559639998131,6.45200163470568,0.418000851775321
"Arunachal Pradesh","1991-1992",4.09,1991,"1991-1992",785.53,"1991-92",1.40854497005471,6.66635864920062,0.520667574758443
"Arunachal Pradesh","1992-1993",4.45,1992,"1992-1993",924.99,"1992-93",1.49290409617815,6.82978292664318,0.48108628201386
"Arunachal Pradesh","1993-1994",3.63,1993,"1993-1994",1108.33,"1993-94",1.28923264827676,7.01060965689853,0.327519782014382
"Arunachal Pradesh","1994-1995",5.6,1994,"1994-1995",1203.31,"1994-95",1.7227665977411,7.0928313718891,0.465382985265642
"Arunachal Pradesh","1995-1996",7.67,1995,"1995-1996",1469.81,"1995-96",2.03731661537916,7.29288841971838,0.521836155693593
"Arunachal Pradesh","1996-1997",8.53,1996,"1996-1997",1504.42,"1996-97",2.14358936150359,7.31616272084443,0.566995918692918
"Arunachal Pradesh","1997-1998",9.83,1997,"1997-1998",1658.59,"1997-98",2.28543893415908,7.41372312281769,0.592672088943018
"Arunachal Pradesh","1998-1999",11.29,1998,"1998-1999",1880.28,"1998-99",2.42391737816157,7.53917598090432,0.600442487289127
"Arunachal Pradesh","1999-2000",13.87,1999,"1999-2000",2022.53,"1999-00",2.62972823432674,7.61210448194996,0.685774747469753
"Arunachal Pradesh","2000-2001",20.69,2000,"2000-2001",2243.01,"2000-01",3.02965049175745,7.71557399282503,0.922421210783724
"Arunachal Pradesh","2001-2002",34.18,2001,"2001-2002",2640.35,"2001-02",3.53164067768744,7.87866676311055,1.29452534701839
"Arunachal Pradesh","2002-2003",36.54,2002,"2002-2003",2599.04,"2002-03",3.59840755094986,7.86289742505788,1.40590371829599
"Arunachal Pradesh","2003-2004",43.12,2003,"2003-2004",2971.13,"2003-04",3.76398692660074,7.99669763081633,1.45129967386146
"Arunachal Pradesh","2004-2005",49.49,2004,"2004-2005",3580.7,"2004-05",3.90177062896379,8.18331359100736,1.38213198536599
"Arunachal Pradesh","2005-2006",61.71,2005,"2005-2006",3855.49,"2005-06",4.12244599233298,8.25725338557234,1.60057476481589
"Arunachal Pradesh","2006-2007",78.19,2006,"2006-2007",4217.76,"2006-07",4.35914176213642,8.34705946041564,1.85382762414172
"Arunachal Pradesh","2007-2008",98.07,2007,"2007-2008",4938.53,"2007-08",4.58568150940423,8.50482299504877,1.98581359230378
"Arunachal Pradesh","2008-2009",136.2,2008,"2008-2009",5839.29,"2008-09",4.91412439371541,8.67236449308893,2.33247535231167
"Arunachal Pradesh","2009-2010",173.42,2009,"2009-2010",7674.17,"2009-10",5.15571639794901,8.94561542328501,2.25978835496216
"Arunachal Pradesh","2010-2011",214.97,2010,"2010-2011",9262.5,"2010-11",5.37049848350804,9.13372926960434,2.3208636977058
"Arunachal Pradesh","2011-2012",317.65,2011,"2011-2012",11062.69,"2011-12",5.76095014771254,9.31133346430994,2.8713631133115
"Arunachal Pradesh","2012-2013",316.5,2012,"2012-2013",12546.62,"2012-13",5.75732324158423,9.43720658557689,2.52259174183963
"Arunachal Pradesh","2013-2014",434.51,2013,"2013-2014",14581.07,"2013-14",6.07421895940033,9.58747939107288,2.97995963259212
"Arunachal Pradesh","2014-2015",462.1642,2014,"2014-2015",17959.41,"2014-15",6.13592023919353,9.79586949053708,2.57338186499445
"Arunachal Pradesh","2015-2016",535.0649,2015,"2015-2016",18509.16,"2015-16",6.28238804794995,9.8260210236626,2.89081136042911
"Arunachal Pradesh","2016-2017",708.7502,2016,"2016-2017",19902.12,"2016-17",6.56350313722887,9.8985815377017,3.56117941204254
"Arunachal Pradesh","2017-2018",1747.1287,2017,"2017-2018",22474.75,"2017-18",7.46572897656773,10.0201477358074,7.7737403085685
"Arunachal Pradesh","2018-2019",1273.5404,2018,"2018-2019",25334.87,"2018-19",7.14955601751272,10.1399369866555,5.02682824107643
"Arunachal Pradesh","2019-2020",1228.7311,2019,"2019-2020",30023.65,"2019-20",7.11373728985783,10.3097406834061,4.09254404444496
"Arunachal Pradesh","2020-2021",1437.2088,2020,"2020-2021",30525.35,"2020-21",7.2704581782376,10.3263127649246,4.70824675228949
"Arunachal Pradesh","2021-2022",1639.784,2021,"2021-2022",32705.26,"2021-22",7.402319804827,10.3952912002185,5.01382346448247
"Arunachal Pradesh","2022-2023",2237.3511,2022,"2022-2023",35711.5,"2022-23",7.71304790044859,10.4832280447469,6.26507175559694
"Arunachal Pradesh","2023-2024",2797.6135,2023,"2023-2024",38565.32,"2023-24",7.93652201130229,10.5601087060129,7.25422089068624
